smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
O=C(/C=C/c1ccccc1)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.1,446.3080000000001,5.182800000000003,2.0,5.0,1.0,79.8,5.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,5600.0,321.1670000000001,2.8845,1.0,4.0,0.0,73.8,1.0,0.0
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,4.3,331.17300000000006,3.539500000000002,1.0,5.0,0.0,59.93000000000001,3.0,0.0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.91,370.21000000000004,3.655400000000002,2.0,5.0,0.0,79.8,4.0,0.0
O=C(/C=C/C(F)(F)F)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.75,437.21900000000016,5.192900000000002,2.0,4.0,1.0,66.91,4.0,1.0
C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.6,381.23300000000006,4.415500000000002,2.0,4.0,0.0,66.91,4.0,1.0
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,490.0,412.2800000000001,4.923800000000003,1.0,5.0,0.0,72.7,4.0,1.0
CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,1400.0,434.37100000000015,4.446100000000003,1.0,5.0,0.0,63.050000000000004,8.0,1.0
CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,210.0,475.42400000000026,3.7418000000000013,1.0,6.0,0.0,66.28999999999999,7.0,1.0
CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1,0.95,345.20400000000006,2.9919000000000002,1.0,6.0,0.0,66.83000000000001,3.0,0.0
N#Cc1ccc(Nc2cc3c(cc2Nc2ccc(C#N)cc2)C(=O)NC3=O)cc1,100000.0,379.3790000000001,3.800760000000002,3.0,6.0,0.0,117.81,4.0,1.0
C=C[S+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.6,375.25100000000003,3.782000000000002,1.0,5.0,0.0,73.75999999999999,4.0,0.0
CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,7500.0,335.1940000000001,3.344000000000001,1.0,4.0,0.0,59.81,2.0,0.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccn3)nc21,5000.0,412.28000000000014,4.309400000000003,1.0,5.0,0.0,72.7,4.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(Cl)cc3)nc21,5000.0,431.71000000000015,5.699300000000003,1.0,4.0,1.0,59.81,3.0,1.0
C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.1,396.24800000000005,4.2116000000000025,2.0,5.0,0.0,79.8,5.0,1.0
C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.76,406.2650000000001,3.416100000000001,2.0,6.0,0.0,96.87,5.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,910.0,398.2530000000001,4.440900000000003,1.0,5.0,0.0,72.7,3.0,1.0
Cn1c(SSc2ccccc2)c(C(=O)Nc2ccccc2)c2ccccc21,100000.0,390.53300000000013,6.230000000000004,1.0,3.0,1.0,34.03,5.0,1.0
O=C1NC(=O)c2cc3c(cc21)N(c1ccccc1)CCN3c1ccccc1,100000.0,355.3970000000001,3.860000000000003,1.0,4.0,0.0,52.650000000000006,2.0,0.0
O=C(O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.37,413.2310000000001,3.715200000000001,3.0,5.0,0.0,104.21,5.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,260.0,397.2650000000001,5.045900000000003,1.0,4.0,1.0,59.81,3.0,1.0
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,329.2010000000001,4.177600000000002,2.0,4.0,0.0,49.84,3.0,1.0
CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,8700.0,461.3970000000002,3.351700000000001,1.0,6.0,0.0,66.28999999999999,6.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCc3ccccn3)nc21,5000.0,426.3070000000002,4.351900000000003,1.0,5.0,0.0,72.7,5.0,1.0
CN(C)CCNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,35.0,388.2730000000001,2.8994,2.0,7.0,0.0,78.86,6.0,0.0
COC(=O)c1cc(/N=C/c2ccccc2O)ccc1O,10000.0,271.272,2.635000000000001,2.0,5.0,0.0,79.12,3.0,0.0
